cost_eth,tx_hash,block_no
0.000232438969457272,0x2e34…85d2,1087146
0.000237827558577280,0x3f78…813e,1087151
0.000228241709366824,0xdab3…4ac9,1087158
0.000226940429387608,0xb357…7515,1087162
0.000215615892322768,0xec25…1ce8,1087164
0.000225725014469824,0xbc39…926c,1087168
0.000223802694663504,0xdd55…4803,1087174
0.000228849530330024,0x74c8…a6d9,1087179
0.000235354856993744,0x6f2d…01d4,1087185
0.000237064471359608,0x21c8…a50b,1087192
0.000230976348745920,0x767f…98b4,1087199
0.000234952348733952,0xfba5…98b9,1087205
0.000239072197428544,0xbce7…5de4,1087211
0.000232203141734392,0xe0f9…6535,1087217
0.000241771007990544,0xe3d1…11e3,1087222
0.000224700206610480,0xea31…cec0,1087228
0.000237274890503168,0xa114…91f9,1087235
0.000235495298880016,0x9c14…030b,1087239
0.000241280359276768,0xa39f…5731,1087245
0.000239014572955497,0x0099…1b1c,1087251
0.000222174665666456,0xb579…b312,1087257
0.000229693512677368,0x11a7…8cea,1087263
0.000234235342224408,0xf6d7…7798,1087268
0.000234192980480704,0x6b51…7941,1087275
0.000217583290803808,0x47ec…6d08,1087281
0.000231593558990736,0xf1ee…accf,1087509
0.000235845793185680,0xfa91…662e,1087811
0.000233852374490752,0x0af4…bb29,1088112
0.000221768969722872,0x6948…8439,1088409
0.000239518735096928,0x64ca…f1b3,1088708
0.000252593805807392,0xda44…823f,1089011
0.000179239705380976,0xd267…481c,1089309
0.000198922991305248,0xfa09…b746,1089612
0.000232471518690864,0x9798…2629,1089911
0.000224267589649232,0x5920…63cc,1090210
0.000188432216535072,0xadd6…1e3a,1090507
0.000240368610513304,0x52db…4061,1090808
0.000233467240116424,0xcb7f…bc00,1091110
0.000235238387287296,0x256a…3f4e,1091409
0.000254800380587950,0xa462…e806,1091710
0.000232763220330712,0x4950…a2b8,1092011
0.000228925532383152,0x9167…c383,1092309
0.000247679988037755,0xe37c…cd86,1092613
0.000239411048168984,0xba2d…c503,1092910
0.000230348798325704,0xd06d…00eb,1093212
0.000238618593521115,0xa842…9ebd,1093511
0.000226739587581864,0xbf4b…324a,1093810
0.000231567701642264,0x5437…8139,1094107
0.000228118380944624,0xd50b…447d,1094407
0.000238084385850848,0x9fd6…c293,1094709
0.000235545467667528,0xc177…9361,1095011
0.000233768907218760,0x598c…f72f,1095307
0.000242730947576127,0x0229…ea65,1095607
0.000543691251698592,0x4574…df8c,1095910
0.000233190230435800,0xb571…1171,1096209
0.000217010930394500,0xf0ab…9577,1096509
0.000207782453821216,0x61f0…4eaf,1096808
0.000231580214056288,0x9389…4310,1097109
0.000247446493141856,0x7526…8823,1097411
0.000234707473262840,0x30df…cc38,1097709
0.000240464554220816,0x833b…5922,1098008
0.000276224805268240,0x02c3…4a01,1098309
0.000202518675880944,0xd280…2c29,1098611
0.000239546861773504,0x61db…c7fc,1098909
0.000196338472428954,0x8d6d…9f24,1099209
0.000237922825632344,0x00ef…3153,1099511
0.000236884592367992,0x337e…7944,1099811
0.000225278394173336,0xa771…dbbd,1100109
0.000237449703581472,0x4072…1a96,1100408
0.000234649807301488,0x8a55…5b84,1100712
0.000238821716016688,0xac30…103d,1101011
0.000224813172698720,0x8d80…0eb2,1101310
0.000239735868517416,0x5a22…18f2,1101608
0.000234303928692372,0x05e6…9f70,1101908
0.000253848203580040,0x55b0…f251,1102207
0.000232825309432200,0x5efd…3c27,1102507
0.000232163646608608,0x7674…a5ab,1102809
0.000222582100182320,0x8535…7a82,1103107
0.000245104700015712,0x1570…b387,1103409
0.000231585001588112,0x80db…a88f,1103707
0.000246661683246384,0xaf8e…5b66,1104011
0.000244705645633992,0x7779…0a8c,1104309
0.000239148411212544,0x0786…95ce,1104610
0.000232299364523136,0x861b…8fdd,1104908
0.000232551904057032,0xcd5f…5743,1105209
0.000243252383648768,0xc7d9…ada9,1105508
0.000220622877510176,0x6e67…ffc9,1105810
0.000230474449314864,0x2c4a…0b27,1106109
0.000212902917659344,0x96fa…d8c0,1106410
0.000237582023130952,0x0a8e…2192,1106711
0.000239343259652616,0x0b3f…7832,1107012
0.000227836112087144,0x67fb…28ab,1107312
0.000227204914193016,0xb326…3a57,1107610
0.000234777389817336,0xb530…5fbf,1107908
0.000226400370700376,0xac05…f050,1108208
0.000225907185764472,0x2c83…836c,1108511
0.000230627096252608,0xb9aa…c17b,1108810
0.000230243043624192,0xeacd…4981,1109108
0.000229515451095856,0xd6cf…564e,1109409
0.000246463969179696,0xb6e3…1968,1109711
0.000240189207755792,0x3008…bc17,1110009
0.000241138418014040,0x3438…aa54,1110310
0.000245993572165208,0xd124…b966,1110609
0.000238047124366224,0x17ec…7405,1110911
